aspects,sentiments,snippets,target,sentence,combined,news
Stock/IPO,0.229,scraps ViiV IPO,GlaxoSmithKline,"GlaxoSmithKline targets growth across units, scraps ViiV IPO","scraps ViiV IPO GlaxoSmithKline targets growth across units, scraps ViiV IPO",scraps viiv ipo glaxosmithkline targets growth across units scraps viiv ipo
Stock/Price Action,0.354,share price closes higher,Tesco,Tesco share price closes higher as two more directors leave grocer,share price closes higher Tesco share price closes higher as two more directors leave grocer,share price closes higher tesco share price closes higher two directors leave grocer
Corporate/Rumors,0.453,Clubcard bid reports,Tesco,Tesco leads FTSE higher on Clubcard bid reports,Clubcard bid reports Tesco leads FTSE higher on Clubcard bid reports,clubcard bid reports tesco leads ftse higher clubcard bid reports
Stock/Technical Analysis/Volume/Unusually high volume,0.516,Has Broken Out To A New High,Eli Lilly  Co,Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,Has Broken Out To A New High Eli Lilly & Co. (LLY) Has Broken Out To A New High On AstraZeneca Collaboration,broken new high eli lilly  co lly broken new high astrazeneca collaboration
Corporate/Sales,0.724,gross sales beat,Old Mutual,"RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct","gross sales beat RPT-Old Mutual Q1 gross sales beat forecasts, up 18 pct",gross sales beat rptold mutual q gross sales beat forecasts pct
Corporate/Legal/Settlement,-0.121,settles oil spillrelated claims,BP,"UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean","settles oil spillrelated claims UPDATE 3-BP settles oil spill-related claims with Halliburton, Transocean",settles oil spillrelated claims update bp settles oil spillrelated claims halliburton transocean
Stock/Price Action,-0.408,share price,GlaxoSmithKline,GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,share price GlaxoSmithKline share price slips as FDA okays asthma therapy only for adults,share price glaxosmithkline share price slips fda okays asthma therapy adults
Stock/Price Action,-0.301,share price fall,Glencore,Glencore chief blames rivals' overproduction for share price fall,share price fall Glencore chief blames rivals' overproduction for share price fall,share price fall glencore chief blames rivals overproduction share price fall
Corporate/Legal/Lawsuit,-0.152,Sue Over Law Taking Branding Off Packs,BAT,"Philip Morris, BAT Sue Over Law Taking Branding Off Packs","Sue Over Law Taking Branding Off Packs Philip Morris, BAT Sue Over Law Taking Branding Off Packs",sue law taking branding packs philip morris bat sue law taking branding packs
Stock/Price Action,-0.514,share price falls,Hargreaves Lansdown,Hargreaves Lansdown share price falls as costs mount - although pensions ...,share price falls Hargreaves Lansdown share price falls as costs mount - although pensions ...,share price falls hargreaves lansdown share price falls costs mount  although pensions
Corporate/Appointment,0.195,Set To Appoint Roy Gardner ExCentrica As Chairman  FT,Centrica,"PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT","Set To Appoint Roy Gardner ExCentrica As Chairman  FT PRESS: Serco Set To Appoint Roy Gardner, Ex-Centrica, As Chairman - FT",set appoint roy gardner excentrica chairman  ft press serco set appoint roy gardner excentrica chairman  ft
Stock/Signal/Buy Signal,0.461,Semiconductor offers to buy Integrated Silicon Solution,Integrated Silicon Solution,UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,Semiconductor offers to buy Integrated Silicon Solution UPDATE 1-Cypress Semiconductor offers to buy Integrated Silicon Solution,semiconductor offers buy integrated silicon solution update cypress semiconductor offers buy integrated silicon solution
Corporate/Legal/Settlement,-0.69,RBS must pay 806 mln in mortgage bond case,RBS,"UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge","RBS must pay 806 mln in mortgage bond case UPDATE 1-Nomura, RBS must pay $806 mln in mortgage bond case-US judge",rbs must pay  mln mortgage bond case update nomura rbs must pay  mln mortgage bond caseus judge
Corporate/Appointment,0.0,Board Names Gavin Hattersley Interim CEO,MillerCoors,MillerCoors Board Names Gavin Hattersley Interim CEO,Board Names Gavin Hattersley Interim CEO MillerCoors Board Names Gavin Hattersley Interim CEO,board names gavin hattersley interim ceo millercoors board names gavin hattersley interim ceo
Corporate/Dividend Policy,0.549,after dividend hike,Land Securities,"Britain's FTSE gains, Land Securities up after dividend hike","after dividend hike Britain's FTSE gains, Land Securities up after dividend hike",dividend hike britains ftse gains land securities dividend hike
Stock/Price Action,0.558,Mondi and Barratt lead,Barratt,"Britain's FTSE bounces back, Mondi and Barratt lead","Mondi and Barratt lead Britain's FTSE bounces back, Mondi and Barratt lead",mondi barratt lead britains ftse bounces back mondi barratt lead
Corporate/Sales/Deal,0.195,Shires Deal for NPS,Shire,Morning Agenda: Shire's Deal for NPS,Shires Deal for NPS Morning Agenda: Shire's Deal for NPS,shires deal nps morning agenda shires deal nps
Corporate/Sales,0.689,Sales Up 18,Old Mutual,Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,Sales Up 18 Old Mutual First-Quarter Sales Up 18% Buoyed by Emerging Markets,sales old mutual firstquarter sales buoyed emerging markets
Corporate/Sales,0.304,UK sales growth,Kingfisher,Do it for me' trend underpins UK sales growth at Kingfisher,UK sales growth Do it for me' trend underpins UK sales growth at Kingfisher,uk sales growth trend underpins uk sales growth kingfisher
Corporate/Strategy/Corporate Expansion,0.372,Aldi and Lidl expansion,Lidl,"Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...","Aldi and Lidl expansion Aldi and Lidl expansion plans speed ahead as Tesco, Sainsbury's, Morrisons ...",aldi lidl expansion aldi lidl expansion plans speed ahead tesco sainsburys morrisons
Corporate/Sales/Deal,0.199,extends gas deals,Gazprom,"Centrica extends gas deals with Gazprom, Statoil","extends gas deals Centrica extends gas deals with Gazprom, Statoil",extends gas deals centrica extends gas deals gazprom statoil
Corporate/Strategy/Company Agreement,0.119,Group Sign Memo of Understanding ..,China Merchants Group,Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,Group Sign Memo of Understanding .. Carnival Corporation and China Merchants Group Sign Memo of Understanding ...,group sign memo understanding  carnival corporation china merchants group sign memo understanding
Market/Conditions,-0.364,says conditions to remain challenging,Aberdeen AM,"Aberdeen AM posts H1 outflows, says conditions to remain challenging","says conditions to remain challenging Aberdeen AM posts H1 outflows, says conditions to remain challenging",says conditions remain challenging aberdeen posts h outflows says conditions remain challenging
Corporate/Regulatory,0.242,FDA Approves,AstraZeneca,Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,FDA Approves Teva: FDA Approves Generic Version of AstraZeneca Heartburn Drug,fda approves teva fda approves generic version astrazeneca heartburn drug
Stock/Price Action,0.433,share price jumps,Severn Trent,Severn Trent share price jumps as Canadian investor renews pursuit of utility,share price jumps Severn Trent share price jumps as Canadian investor renews pursuit of utility,share price jumps severn trent share price jumps canadian investor renews pursuit utility
Corporate/Risks,0.143,diffuse investor tension,Morrisons,New Morrisons duo get former boss's support to diffuse investor tension,diffuse investor tension New Morrisons duo get former boss's support to diffuse investor tension,diffuse investor tension new morrisons duo get former bosss support diffuse investor tension
Stock/Coverage/AnalystRatings/downgrade,-0.53,downgrades Barclays and RBS,RBS,S&P downgrades Barclays and RBS on government bailout fears,downgrades Barclays and RBS S&P downgrades Barclays and RBS on government bailout fears,downgrades barclays rbs sp downgrades barclays rbs government bailout fears
Stock/IPO,0.189,London listing,Cairn Homes,Irish housebuilder Cairn Homes plans London listing,London listing Irish housebuilder Cairn Homes plans London listing,london listing irish housebuilder cairn homes plans london listing
Corporate/Sales,-0.41,sales outlook,Arm,Arm slammed by handset sales outlook,sales outlook Arm slammed by handset sales outlook,sales outlook arm slammed handset sales outlook
Corporate/Appointment,0.076,adds exSEC head Schapiro to board,LSE,CompaniesLSE adds ex-SEC head Schapiro to board,adds exSEC head Schapiro to board CompaniesLSE adds ex-SEC head Schapiro to board,adds exsec head schapiro board companieslse adds exsec head schapiro board
Corporate/Sales/Sales,-0.41,Sales boost,Tesco,Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,Sales boost Sales boost for new Morrisons chief David Potts as Tesco turnaround stalls,sales boost sales boost new morrisons chief david potts tesco turnaround stalls
Stock/Price Action,0.589,flat Standard Chartered leads risers,Standard Chartered,FTSE 100 flat; Standard Chartered leads risers,flat Standard Chartered leads risers FTSE 100 flat; Standard Chartered leads risers,flat standard chartered leads risers ftse  flat standard chartered leads risers
Corporate/Appointment,-0.025,appointment as RBS director delayed,RBS,CompaniesHoward Davies appointment as RBS director delayed,appointment as RBS director delayed CompaniesHoward Davies appointment as RBS director delayed,appointment rbs director delayed companieshoward davies appointment rbs director delayed
Corporate/Appointment,-0.09,David Nish quits as chief executive,Standard Life,Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,David Nish quits as chief executive Keith Skeoch to step up as David Nish quits as chief executive of Standard Life,david nish quits chief executive keith skeoch step david nish quits chief executive standard life
Corporate/Sales/Sales,0.329,rise at EasyJet and Aer Lingus,EasyJet,Passengers rise at EasyJet and Aer Lingus,rise at EasyJet and Aer Lingus Passengers rise at EasyJet and Aer Lingus,rise easyjet aer lingus passengers rise easyjet aer lingus
Corporate/Sales,0.478,profit boost on strong sales,Dixons Carphone,Dixons Carphone profit boost on strong sales,profit boost on strong sales Dixons Carphone profit boost on strong sales,profit boost strong sales dixons carphone profit boost strong sales
Stock/Price Action,0.334,rallies off threemonth low,Sainsbury,"FTSE rallies off three-month low, boosted by StanChart, Sainsbury","rallies off threemonth low FTSE rallies off three-month low, boosted by StanChart, Sainsbury",rallies threemonth low ftse rallies threemonth low boosted stanchart sainsbury
Market/Market/Market Trend,-0.438,lead FTSE lower,Royal Mail,"Royal Mail, Johnson Matthey lead FTSE lower","lead FTSE lower Royal Mail, Johnson Matthey lead FTSE lower",lead ftse lower royal mail johnson matthey lead ftse lower
Stock/Price Action,-0.303,pressures take a toll,Sainsbury,Sainsbury sales slip again as price pressures take a toll,pressures take a toll Sainsbury sales slip again as price pressures take a toll,pressures take toll sainsbury sales slip price pressures take toll
Stock/IPO,0.214,raise 100m in London IPO,Sophos,Sophos aims to raise $100m in London IPO,raise 100m in London IPO Sophos aims to raise $100m in London IPO,raise london ipo sophos aims raise london ipo
Corporate/M&A/Proposed Merger,0.164,Stifel to buy former Lehman brokerage,Lehman,UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,Stifel to buy former Lehman brokerage UPDATE 3-Stifel to buy former Lehman brokerage from Barclays,stifel buy former lehman brokerage update stifel buy former lehman brokerage barclays
Corporate/M&A/Proposed Merger,0.214,putting together new Severn Trent bid,Severn Trent,Borealis Infrastructure putting together new Severn Trent bid,putting together new Severn Trent bid Borealis Infrastructure putting together new Severn Trent bid,putting together new severn trent bid borealis infrastructure putting together new severn trent bid
Corporate/Risks,-0.414,Greek debt concerns,easyjet,"FTSE falls to 3-month low on Greek debt concerns, easyJet skids","Greek debt concerns FTSE falls to 3-month low on Greek debt concerns, easyJet skids",greek debt concerns ftse falls month low greek debt concerns easyjet skids
Stock/Price Action,-0.626,share price slumps,Johnson Matthey,Johnson Matthey share price slumps as company posts full-year results,share price slumps Johnson Matthey share price slumps as company posts full-year results,share price slumps johnson matthey share price slumps company posts fullyear results
Corporate/Legal,0.199,After Settling With Lehman Bros Trustee,Barclays,UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,After Settling With Lehman Bros Trustee UPDATE: Barclays Expects Gain After Settling With Lehman Bros Trustee,settling lehman bros trustee update barclays expects gain settling lehman bros trustee
